github_id,target_role,total_repos,top_languages,topics
D-Gaspa,Web Frontend (Lv1. 의심 / 6점),21,"{'Python': 5, 'JavaScript': 3, 'TypeScript': 2}",[]
gabrieltsants,Web Frontend (Lv1. 의심 / 7점),17,"{'JavaScript': 4, 'TypeScript': 3, 'PHP': 3}",[]
Benny0323,X (추론 안됨),26,"{'Python': 7, 'JavaScript': 3, 'HTML': 1}",[]
OffcierCia,X (추론 안됨),11,{'JavaScript': 1},"['awesome', 'geoint', 'opsec', 'mindmap', 'cryptocurrency', 'security', 'audit', 'investigation', 'awsome-lists', 'awesome-list']"
sabber-slt,"Web Backend (Lv1. 의심 / 11.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 9점)",17,"{'TypeScript': 6, 'Python': 3, 'JavaScript': 2}","['chakra-ui', 'youtube-api', 'twitter', 'gemma2', 'api', 'selenium', 'image-generation', 'markdown', 'chatbot', 'python']"
Moli-X,Web Frontend (Lv1. 의심 / 11점),15,"{'JavaScript': 10, 'HTML': 1, 'Stylus': 1}","['config', 'quantumultx']"
fenrir2608,Web Frontend (Lv1. 의심 / 10점),14,"{'JavaScript': 6, 'TypeScript': 4, 'Markdown': 1}",['chrome-extension']
X-itachi-X,Web Frontend (Lv1. 의심 / 6점),16,"{'TypeScript': 5, 'Java': 3, 'Go': 1}",[]
lsecqt,X (추론 안됨),18,"{'C#': 4, 'PowerShell': 3, 'C': 3}","['config', 'github-config']"
TechHutTV,X (추론 안됨),18,"{'Shell': 3, 'HTML': 3, 'Python': 3}","['open-source', 'self-hosting', 'linux', 'homelab', 'theme']"
shivsinghin,Web Frontend (Lv1. 의심 / 12점),17,"{'Python': 5, 'TypeScript': 4, 'JavaScript': 4}",[]
ahr-i,"DevOps/SRE (Lv2. 강한 의심 / 51점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 42.0점)",37,"{'Go': 10, 'Java': 6, 'Python': 4}","['redis', 'html-css-javascript', 'nft', 'csharp', 'distributed-systems', 'unity', 'aes', 'ai', 'python', 'fuse']"
vishalkrishna8,Web Frontend (Lv2. 강한 의심 / 30점),49,"{'CSS': 16, 'JavaScript': 10, 'HTML': 4}",[]
kefimochi,Web Frontend (Lv1. 의심 / 7점),13,"{'JavaScript': 4, 'HTML': 2, 'Java': 2}",[]
alimahdibahrami,X (추론 안됨),11,"{'Python': 3, 'JavaScript': 1, 'C#': 1}",[]
mochen862,X (추론 안됨),28,"{'Jupyter Notebook': 10, 'Cypher': 1}",[]
Aylur,Web Frontend (Lv2. 강한 의심 / 20점),27,"{'TypeScript': 17, 'Vala': 2, 'JavaScript': 2}","['wayland', 'linux-desktop', 'gtk-layer-shell', 'linux', 'gjs', 'jsx', 'layer-shell', 'gnome-shell-extension', 'gnim', 'gtk4']"
lunaperegrina,"Web Frontend (Lv2. 강한 의심 / 23점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12점)",32,"{'TypeScript': 11, 'JavaScript': 6, 'Astro': 2}","['javascript', 'readme', 'api', 'github', 'bluesky', 'nextjs', 'nodejs', 'sequelize', 'puppeteer', 'sharp']"
Rodrigo-Sarmento,"Web Backend (Lv2. 강한 의심 / 17.5점)
 🕵️ 부캐 스캔: Mobile App (Lv2. 강한 의심 / 17점)",38,"{'Java': 17, 'Kotlin': 5, 'HTML': 5}","['diabetes', 'kotlin-android', 'kotlin', 'java', 'firebase', 'combustivel', 'android', 'imc-calculator']"
enka1504,Web Frontend (Lv2. 강한 의심 / 17점),39,"{'JavaScript': 11, 'Liquid': 8, 'HTML': 3}","['config', 'github-config']"
dirumahrafif,Web Frontend (Lv2. 강한 의심 / 23점),53,"{'PHP': 17, 'JavaScript': 11, 'HTML': 8}","['config', 'github-config']"
teplostanski,Web Frontend (Lv2. 강한 의심 / 27점),31,"{'TypeScript': 13, 'HTML': 5, 'JavaScript': 3}","['github-config', 'vite-plugin', 'single-div', 'network', 'npm-cli', 'nopasswd', 'sudo', 'golang', 'purecss', 'tui']"
noob-hackers,Mobile App (Lv1. 의심 / 6점),19,"{'Shell': 10, 'HTML': 4, 'Python': 3}","['termux-proot', 'phishing-kit', 'noobhackersyt', 'saycheese', 'android', 'noob-hackers', 'noobhacking', 'noob-friendly', '2020', 'grabcam']"
ZygimantasB,"Web Backend (Lv1. 의심 / 7.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 7.0점)",32,"{'Python': 14, 'Jupyter Notebook': 13, 'Shell': 1}",[]
WV-Wesley-Victor,"Web Frontend (Lv3. 확신 / 136점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 9점)",36,"{'HTML': 27, 'CSS': 4, 'JavaScript': 3}","['cor', 'bootstrap', 'javascript', 'photography', 'webdeveloper', 'front', 'card', 'readme-profile', 'windows-forms', 'desktop']"
Vanshikagarg17,Web Backend (Lv1. 의심 / 7.0점),44,"{'Python': 8, 'Jupyter Notebook': 3, 'Java': 3}",[]
MrF3ri,Web Frontend (Lv2. 강한 의심 / 26점),17,"{'JavaScript': 5, 'Python': 4, 'Shell': 2}","['github-config', 'googletrans', 'javascript', 'login-form', 'api', 'html5', 'flogger', 'instagram', 'instagram-hacking-tool', 'loacalstorage']"
HoanghoDev,Web Frontend (Lv3. 확신 / 99점),100,"{'CSS': 45, 'HTML': 37, 'JavaScript': 17}",[]
MariyamSiddiqui,ML/AI Engineer (Lv1. 의심 / 13.0점),20,"{'Jupyter Notebook': 15, 'Python': 2, 'TSQL': 1}","['gpt-4', 'github-config', 'transformer', 'pytesseract', 'ultralytics', 'lemmatisation', 'yolov8', 'activation-sparsification', 'fine-tuning', 'tensorflow']"
itsparsh10,"Web Frontend (Lv2. 강한 의심 / 20점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 11점)",57,"{'Python': 11, 'C++': 10, 'HTML': 7}",[]
